60-Node CONUS Network,,,,
Derived from Continental US (CONUS) Topology for CORONET: Dynamic Multi-Terabit Core Optical Networks,,,,
,,,,
,,,,
Node A,Node Z,Distance (km),Source Node,Destination Node 
Albany,Boston,277.1,1,8
Albany,Syracuse,234.2,1,53
Albuquerque,Denver,647.7,2,16
Albuquerque,El_Paso,436.9,2,18
Atlanta,Birmingham,266.2,3,7
Atlanta,Charlotte,439.2,3,10
Atlanta,Jacksonville,554.1,3,22
Baltimore,Philadelphia,179.2,4,37
Baltimore,Washington_DC,67.2,4,59
Baton_Rouge,Houston,500.2,5,21
Baton_Rouge,New_Orleans,147.4,5,32
Billings,Seattle,1293.1,6,51
Billings,Minneapolis,1468,6,30
Birmingham,Nashville,352.4,7,31
Birmingham,New_Orleans,582.5,7,32
Boston,Providence,79.9,8,41
Buffalo,Syracuse,272,9,53
Buffalo,Cleveland,336.4,9,13
Charlotte,Greensboro,159.9,10,19
Chicago,St_Louis,501.6,11,52
Chicago,Detroit,459.1,11,17
Chicago,Milwaukee,165.3,11,29
Cincinnati,Columbus,193.2,12,14
Cincinnati,Louisville,177.5,12,27
Cincinnati,Washington_DC,777.1,12,59
Cleveland,Columbus,239,13,14
Cleveland,Toledo,191.2,13,56
Columbus,Pittsburgh,294.7,14,39
Dallas,Tulsa,560,15,58
Dallas,El_Paso,1189.9,15,18
Dallas,Houston,432.7,15,21
Dallas,Little_Rock,554,15,25
Denver,Omaha,920.3,16,36
Denver,Salt_Lake_City,731.3,16,44
Detroit,Toledo,107.2,17,56
El_Paso,San_Antonio,964.5,18,45
El_Paso,Tucson,505.7,18,57
Greensboro,Washington_DC,508,19,59
Greensboro,Louisville,690.4,19,27
Greensboro,Raleigh,131.1,19,42
Hartford,New_York,215.6,20,33
Hartford,Providence,125.6,20,41
Houston,San_Antonio,425,21,45
Jacksonville,Raleigh,809,22,42
Jacksonville,West_Palm_Beach,522,22,60
Kansas_City,Omaha,314,23,36
Kansas_City,St_Louis,470.9,23,52
Kansas_City,Tulsa,418.4,23,58
Las_Vegas,Oakland,786,24,35
Las_Vegas,Los_Angeles,484.5,24,26
Las_Vegas,Phoenix,495.9,24,38
Las_Vegas,Salt_Lake_City,700,24,44
Little_Rock,Nashville,639.2,25,31
Los_Angeles,San_Diego,223.8,26,46
Los_Angeles,Santa_Barbara,150.7,26,49
Louisville,Nashville,295.1,27,31
Louisville,St_Louis,473.8,27,52
Miami,Tampa,397.1,28,55
Miami,West_Palm_Beach,129.8,28,60
Milwaukee,Minneapolis,568.3,29,30
Minneapolis,Omaha,561.3,30,36
New_Orleans,Tallahassee,653.4,32,54
New_York,Newark,24.2,33,34
New_York,Scranton,199.6,33,50
Newark,Philadelphia,136.1,34,37
Oakland,Sacramento,132.6,35,43
Oakland,Salt_Lake_City,1135.7,35,44
Oakland,San_Francisco,25.7,35,47
Philadelphia,Scranton,193.4,37,50
Phoenix,San_Diego,574.7,38,46
Phoenix,Tucson,222.5,38,57
Pittsburgh,Scranton,473.6,39,50
Portland,Sacramento,937.7,40,43
Portland,Seattle,279.1,40,51
Salt_Lake_City,Seattle,1463.4,44,51
San_Francisco,San_Jose,77.2,47,48
San_Jose,Santa_Barbara,447,48,49
Scranton,Syracuse,223.8,50,53
Tallahassee,Tampa,394.1,54,55
